日期,本益比,殖利率(%),股價淨值比,股利年度,財報年/季
098年01月05日,10.28,8.17,1.48,,
098年01月06日,10.26,8.19,1.47,,
098年01月07日,10.3,8.16,1.48,,
098年01月08日,10.24,8.2,1.47,,
098年01月09日,10.02,8.38,1.44,,
098年01月10日,10.16,8.27,1.46,,
098年01月12日,10.0,8.4,1.44,,
098年01月13日,9.98,8.42,1.43,,
098年01月14日,10.0,8.4,1.44,,
098年01月15日,9.7,8.66,1.39,,
098年01月16日,9.79,8.58,1.41,,
098年01月17日,9.79,8.58,1.41,,
098年01月19日,9.99,8.41,1.44,,
098年01月20日,9.96,8.43,1.43,,
098年01月21日,9.78,8.59,1.41,,
098年02月02日,9.76,8.61,1.4,,
098年02月03日,9.78,8.59,1.41,,
098年02月04日,9.9,8.48,1.42,,
098年02月05日,9.74,8.62,1.4,,
098年02月06日,9.86,8.52,1.42,,
098年02月09日,9.8,8.57,1.41,,
098年02月10日,9.8,8.57,1.41,,
098年02月11日,9.8,8.57,1.41,,
098年02月12日,9.88,8.5,1.42,,
098年02月13日,9.94,8.45,1.43,,
098年02月16日,9.9,8.48,1.42,,
098年02月17日,9.72,8.64,1.4,,
098年02月18日,9.52,8.82,1.37,,
098年02月19日,9.4,8.94,1.35,,
098年02月20日,9.26,9.07,1.33,,
098年02月23日,9.3,9.03,1.34,,
098年02月24日,9.12,9.21,1.31,,
098年02月25日,9.11,9.22,1.31,,
098年02月26日,9.1,9.23,1.31,,
098年02月27日,9.14,9.19,1.31,,
098年03月02日,8.96,9.38,1.29,,
098年03月03日,8.88,9.46,1.28,,
098年03月04日,8.87,9.47,1.28,,
098年03月05日,8.87,9.47,1.28,,
098年03月06日,8.89,9.45,1.28,,
098年03月09日,8.9,9.44,1.28,,
098年03月10日,8.89,9.45,1.28,,
098年03月11日,9.04,9.29,1.3,,
098年03月12日,9.04,9.29,1.3,,
098年03月13日,9.04,9.29,1.3,,
098年03月16日,9.26,9.07,1.33,,
098年03月17日,9.25,9.08,1.33,,
098年03月18日,9.3,9.03,1.34,,
098年03月19日,9.39,8.95,1.35,,
098年03月20日,9.43,8.91,1.36,,
098年03月23日,9.44,8.9,1.36,,
098年03月24日,9.62,8.73,1.38,,
098年03月25日,9.65,8.7,1.39,,
098年03月26日,9.71,8.65,1.4,,
098年03月27日,9.76,8.61,1.4,,
098年03月30日,9.56,8.79,1.37,,
098年03月31日,9.51,8.83,1.37,,
098年04月01日,9.53,8.81,1.37,,
098年04月02日,10.18,8.25,1.46,,
098年04月03日,10.74,7.82,1.54,,
098年04月06日,10.74,7.82,1.54,,
098年04月07日,11.18,7.51,1.61,,
