日期,開盤,最高,最低,收盤,漲跌,漲%,成交量,成交金額,本益比
2019/12/27,692.00,703.00,691.00,703.00,14.00,2.03%,402,"280,726",34.2426
2019/12/26,693.00,693.00,689.00,689.00,-4.00,-0.58%,116,"80,189",33.5606
2019/12/25,692.00,693.00,687.00,693.00,7.00,1.02%,90,"62,173",33.7555
2019/12/24,690.00,695.00,686.00,686.00,-8.00,-1.15%,161,"111,093",33.4145
2019/12/23,691.00,696.00,685.00,694.00,3.00,0.43%,306,"212,126",33.8042
2019/12/20,681.00,698.00,679.00,691.00,13.00,1.92%,889,"613,773",33.6581
2019/12/19,666.00,678.00,663.00,678.00,12.00,1.80%,456,"307,092",33.0248
2019/12/18,661.00,666.00,651.00,666.00,7.00,1.06%,450,"298,189",32.4403
2019/12/17,638.00,659.00,636.00,659.00,25.00,3.94%,519,"338,538",32.0994
2019/12/16,663.00,663.00,626.00,634.00,-6.00,-0.94%,508,"327,584",30.8816
2019/12/13,623.00,642.00,623.00,640.00,18.00,2.89%,525,"333,145",31.1739
2019/12/12,612.00,624.00,612.00,622.00,9.00,1.47%,708,"438,893",30.2971
2019/12/11,612.00,614.00,608.00,613.00,1.00,0.16%,149,"90,943",29.8587
2019/12/10,615.00,615.00,605.00,612.00,-3.00,-0.49%,157,"95,958",29.81
2019/12/09,613.00,615.00,606.00,615.00,6.00,0.99%,169,"103,631",29.9562
2019/12/06,608.00,614.00,607.00,609.00,0.00,0.00%,136,"82,785",29.6639
2019/12/05,615.00,616.00,607.00,609.00,-6.00,-0.98%,294,"179,434",29.6639
2019/12/04,616.00,616.00,601.00,615.00,-2.00,-0.32%,414,"252,094",29.9562
2019/12/03,611.00,617.00,605.00,617.00,6.00,0.98%,356,"218,358",30.0536
2019/12/02,601.00,611.00,600.00,611.00,14.00,2.35%,331,"201,417",29.7613
2019/11/29,613.00,613.00,594.00,597.00,-17.00,-2.77%,340,"204,913",29.0794
2019/11/28,610.00,615.00,602.00,614.00,5.00,0.82%,266,"162,439",29.9075
2019/11/27,607.00,609.00,601.00,609.00,5.00,0.83%,337,"204,195",29.6639
2019/11/26,584.00,605.00,580.00,604.00,21.00,3.60%,"1,355","814,426",29.4204
2019/11/25,576.00,583.00,570.00,583.00,11.00,1.92%,517,"299,411",28.3975
2019/11/22,573.00,576.00,565.00,572.00,3.00,0.53%,266,"151,404",27.8617
2019/11/21,577.00,577.00,562.00,569.00,-12.00,-2.07%,315,"178,923",27.7155
2019/11/20,577.00,581.00,572.00,581.00,2.00,0.35%,187,"108,389",28.3
2019/11/19,567.00,579.00,567.00,579.00,4.00,0.70%,256,"147,625",28.2026
2019/11/18,579.00,579.00,568.00,575.00,0.00,0.00%,154,"88,021",28.0078
2019/11/15,572.00,580.00,572.00,575.00,7.00,1.23%,374,"215,587",28.0078
2019/11/14,576.00,576.00,565.00,568.00,-8.00,-1.39%,222,"126,440",27.6668
2019/11/13,566.00,576.00,566.00,576.00,1.00,0.17%,298,"170,227",30.5246
2019/11/12,567.00,575.00,563.00,575.00,9.00,1.59%,328,"187,376",30.4716
2019/11/11,563.00,567.00,559.00,566.00,3.00,0.53%,299,"168,069",29.9947
2019/11/08,572.00,572.00,563.00,563.00,-6.00,-1.05%,289,"163,191",29.8357
2019/11/07,570.00,571.00,566.00,569.00,-1.00,-0.18%,237,"135,002",30.1537
2019/11/06,570.00,573.00,562.00,570.00,2.00,0.35%,374,"212,338",30.2067
2019/11/05,548.00,568.00,548.00,568.00,14.00,2.53%,626,"350,541",30.1007
2019/11/04,558.00,558.00,541.00,554.00,11.00,2.03%,358,"197,726",29.3588
2019/11/01,531.00,545.00,531.00,543.00,5.00,0.93%,303,"163,412",28.7758
2019/10/31,540.00,542.00,532.00,538.00,-1.00,-0.19%,351,"188,613",28.5109
2019/10/30,524.00,540.00,523.00,539.00,9.00,1.70%,560,"299,259",28.5639
2019/10/29,525.00,530.00,522.00,530.00,6.00,1.15%,450,"237,590",28.0869
2019/10/28,520.00,525.00,515.00,524.00,4.00,0.77%,259,"135,000",27.7689
2019/10/25,517.00,520.00,512.00,520.00,3.00,0.58%,350,"181,475",27.557
2019/10/24,502.00,517.00,502.00,517.00,15.00,2.99%,431,"221,070",27.398
2019/10/23,508.00,510.00,500.00,502.00,-6.00,-1.18%,295,"148,353",26.6031
2019/10/22,495.00,508.00,495.00,508.00,15.00,3.04%,556,"279,482",26.921
2019/10/21,486.50,493.00,486.50,493.00,6.50,1.34%,319,"156,528",26.1261
2019/10/18,485.00,489.00,472.50,486.50,1.50,0.31%,"1,224","592,782",25.7817
2019/10/17,474.00,487.00,474.00,485.00,4.00,0.83%,260,"125,259",25.7022
2019/10/16,473.50,481.00,472.00,481.00,5.00,1.05%,374,"178,586",25.4902
2019/10/15,481.00,491.50,472.00,476.00,-2.00,-0.42%,307,"146,759",25.2252
2019/10/14,469.50,481.50,469.00,478.00,14.00,3.02%,375,"179,357",25.3312
2019/10/09,466.00,475.00,464.00,464.00,-6.50,-1.38%,635,"295,965",24.5893
2019/10/08,471.50,478.00,470.00,470.50,-5.00,-1.05%,411,"194,123",24.9338
2019/10/07,477.50,479.50,472.50,475.50,0.50,0.11%,156,"74,323",25.1987
2019/10/04,472.00,483.00,472.00,475.00,5.00,1.06%,234,"111,509",25.1722
2019/10/03,464.50,471.50,464.50,470.00,-12.00,-2.49%,467,"218,803",24.9073
2019/10/02,482.50,488.00,480.00,482.00,-8.00,-1.63%,291,"140,297",25.5432
2019/10/01,480.50,494.00,480.50,490.00,18.50,3.92%,394,"192,007",25.9671
2019/09/27,473.00,479.50,471.00,471.50,-1.50,-0.32%,175,"82,863",24.9868
2019/09/26,470.50,483.00,470.50,473.00,6.00,1.28%,411,"195,578",25.0662
2019/09/25,466.50,467.50,461.50,467.00,2.00,0.43%,179,"83,036",24.7483
2019/09/24,468.50,472.50,460.00,465.00,-1.50,-0.32%,294,"136,919",24.6423
2019/09/23,479.00,480.50,466.00,466.50,-17.00,-3.52%,413,"193,808",24.7218
2019/09/20,448.50,485.00,445.50,483.50,38.50,8.65%,"1,144","541,991",25.6227
2019/09/19,448.00,451.50,442.50,445.00,-3.00,-0.67%,204,"90,719",23.5824
2019/09/18,447.00,450.50,443.00,448.00,3.50,0.79%,364,"162,938",23.7414
2019/09/17,443.50,445.00,437.50,444.50,-0.50,-0.11%,251,"111,054",23.5559
2019/09/16,452.50,456.00,441.00,445.00,-1.50,-0.34%,256,"114,912",23.5824
2019/09/12,445.50,450.00,439.50,446.50,11.50,2.64%,488,"218,391",23.6619
2019/09/11,432.00,437.50,428.50,435.00,5.50,1.28%,251,"108,736",23.0525
2019/09/10,441.50,441.50,427.00,429.50,-9.50,-2.16%,229,"98,376",22.761
2019/09/09,445.00,445.00,436.50,439.00,-3.50,-0.79%,144,"63,236",23.2644
2019/09/06,437.00,443.50,435.50,442.50,5.00,1.14%,281,"123,646",23.4499
2019/09/05,434.00,441.50,432.50,437.50,5.50,1.27%,469,"205,365",23.1849
2019/09/04,420.50,434.00,420.50,432.00,14.50,3.47%,346,"148,318",22.8935
2019/09/03,438.50,438.50,417.50,417.50,-18.00,-4.13%,451,"190,328",22.1251
2019/09/02,444.00,445.00,435.00,435.50,-7.00,-1.58%,171,"75,090",23.079
2019/08/30,424.00,442.50,424.00,442.50,18.50,4.36%,474,"207,839",23.4499
2019/08/29,411.00,425.50,407.50,424.00,13.00,3.16%,459,"192,651",22.4695
2019/08/28,420.50,422.50,410.00,411.00,-9.50,-2.26%,304,"125,519",21.7806
2019/08/27,418.50,422.50,415.50,420.50,3.00,0.72%,651,"273,722",22.284
2019/08/26,424.00,424.00,416.00,417.50,-12.50,-2.91%,285,"119,710",22.1251
2019/08/23,424.00,433.00,421.00,430.00,4.00,0.94%,251,"107,555",22.7875
2019/08/22,429.00,431.00,425.00,426.00,4.00,0.95%,229,"97,947",22.5755
2019/08/21,428.00,428.50,421.00,422.00,-7.50,-1.75%,309,"130,869",22.3635
2019/08/20,432.00,437.00,428.00,429.50,-7.50,-1.72%,296,"128,002",22.761
2019/08/19,436.50,443.00,428.00,437.00,4.00,0.92%,426,"186,565",23.1585
2019/08/16,420.00,433.00,413.50,433.00,14.00,3.34%,661,"281,063",22.9465
2019/08/15,426.00,426.00,419.00,419.00,-8.50,-1.99%,379,"160,042",22.2046
2019/08/14,438.00,438.00,426.50,427.50,-2.50,-0.58%,327,"140,797",22.655
2019/08/13,445.00,445.00,430.00,430.00,-4.50,-1.04%,469,"204,719",22.7875
2019/08/12,430.50,442.00,430.50,434.50,0.00,0.00%,313,"137,099",24.1657
2019/08/08,432.00,441.00,432.00,434.50,5.00,1.16%,257,"112,098",24.1657
2019/08/07,428.50,441.50,426.00,429.50,1.50,0.35%,527,"228,031",23.8877
2019/08/06,431.00,436.50,426.50,428.00,-13.00,-2.95%,458,"197,181",23.8042
2019/08/05,425.50,442.00,425.50,441.00,10.00,2.32%,661,"288,797",24.5273
2019/08/02,437.00,442.00,431.00,431.00,-18.00,-4.01%,629,"273,993",23.9711
2019/08/01,441.50,449.00,435.00,449.00,-1.50,-0.33%,620,"274,320",24.9722
2019/07/31,441.00,450.50,432.00,450.50,4.50,1.01%,738,"326,539",25.0556
2019/07/30,462.00,462.00,445.00,446.00,-13.50,-2.94%,334,"149,611",24.8053
2019/07/29,450.00,460.50,446.00,459.50,7.50,1.66%,345,"156,284",25.5562
2019/07/26,460.50,460.50,452.00,452.00,-8.50,-1.85%,212,"96,385",25.139
2019/07/25,461.50,468.50,459.00,460.50,3.50,0.77%,361,"167,328",25.6118
2019/07/24,464.50,465.00,445.50,457.00,-3.00,-0.65%,718,"327,226",25.4171
2019/07/23,465.00,471.00,457.50,460.00,-1.50,-0.33%,389,"179,898",25.584
2019/07/22,479.00,479.00,460.00,461.50,-17.50,-3.65%,488,"227,811",25.6674
2019/07/19,493.00,493.00,479.00,479.00,-11.00,-2.24%,270,"130,567",26.6407
2019/07/18,493.00,496.00,486.00,490.00,-3.00,-0.61%,214,"105,247",27.2525
2019/07/17,490.00,493.00,484.00,493.00,5.00,1.02%,220,"107,878",27.4194
2019/07/16,482.00,488.50,482.00,488.00,-4.00,-0.81%,204,"99,193",27.1413
2019/07/15,492.00,492.00,483.00,492.00,1.00,0.20%,381,"186,523",27.3637
2019/07/12,492.50,496.00,491.00,491.00,-6.00,-1.21%,128,"63,145",27.3081
2019/07/11,500.00,500.00,495.50,497.00,-5.00,-1.00%,103,"51,047",27.6418
2019/07/10,499.50,502.00,489.00,502.00,2.50,0.50%,221,"109,404",27.9199
2019/07/09,488.00,500.00,483.50,499.50,16.00,3.31%,490,"243,044",27.7809
2019/07/08,494.00,494.00,478.50,483.50,-9.00,-1.83%,379,"183,268",26.891
2019/07/05,498.00,503.00,492.00,492.50,-11.50,-2.28%,212,"105,033",27.3915
2019/07/04,495.00,504.00,491.00,504.00,14.00,2.86%,278,"138,872",28.0311
2019/07/03,495.50,501.00,487.50,490.00,-5.50,-1.11%,374,"184,046",27.2525
2019/07/02,497.50,506.00,493.50,495.50,-2.50,-0.50%,325,"161,465",27.5584
2019/07/01,504.00,509.00,495.00,498.00,-10.00,-1.97%,399,"199,708",27.6974
2019/06/28,512.00,512.00,498.50,508.00,-6.00,-1.17%,644,"324,227",28.2536
2019/06/27,507.00,518.00,500.00,514.00,10.00,1.98%,742,"380,300",28.5873
2019/06/26,512.00,512.00,498.50,504.00,-7.00,-1.37%,345,"173,681",28.0311
2019/06/25,522.00,522.00,508.00,511.00,-14.00,-2.67%,321,"164,881",28.4205
2019/06/24,511.00,525.00,511.00,525.00,9.00,1.74%,547,"284,578",29.1991
2019/06/21,517.00,518.00,508.00,516.00,-1.00,-0.19%,446,"229,629",28.6986
2019/06/20,517.00,518.00,512.00,517.00,1.00,0.19%,328,"169,489",28.7542
2019/06/19,515.00,516.00,502.00,516.00,4.00,0.78%,533,"272,818",28.6986
2019/06/18,510.00,512.00,505.00,512.00,3.00,0.59%,247,"125,894",28.4761
2019/06/17,502.00,509.00,498.50,509.00,6.00,1.19%,295,"149,121",28.3092
2019/06/14,502.00,505.00,498.00,503.00,4.50,0.90%,283,"142,082",27.9755
2019/06/13,511.00,511.00,498.00,498.50,-13.50,-2.64%,291,"145,429",27.7253
2019/06/12,517.00,517.00,504.00,512.00,-5.00,-0.97%,345,"175,842",28.4761
2019/06/11,518.00,518.00,512.00,517.00,-1.00,-0.19%,243,"125,412",28.7542
2019/06/10,514.00,520.00,509.00,518.00,8.00,1.57%,465,"240,202",28.8098
2019/06/06,507.00,510.00,503.00,510.00,-1.00,-0.20%,324,"164,694",28.3648
2019/06/05,504.00,511.00,497.50,511.00,7.00,1.39%,746,"377,535",28.4205
2019/06/04,502.00,504.00,496.00,504.00,1.00,0.20%,367,"183,559",28.0311
2019/06/03,505.00,505.00,490.00,503.00,-3.00,-0.59%,260,"129,987",27.9755
2019/05/31,501.00,506.00,499.00,506.00,6.50,1.30%,632,"318,242",28.1424
2019/05/30,496.00,504.00,496.00,499.50,-2.50,-0.50%,415,"208,171",27.7809
2019/05/29,498.00,504.00,494.50,502.00,-3.00,-0.59%,708,"354,059",27.9199
2019/05/28,496.50,505.00,477.50,505.00,8.50,1.71%,"2,200","1,101,650",28.0868
2019/05/27,482.00,497.00,482.00,496.50,13.00,2.69%,431,"212,954",27.614
2019/05/24,496.50,503.00,482.00,483.50,-14.00,-2.81%,473,"233,944",26.891
2019/05/23,492.50,499.00,477.00,497.50,11.00,2.26%,647,"318,288",27.6696
2019/05/22,492.50,509.00,486.50,486.50,-11.50,-2.31%,885,"439,438",27.0578
2019/05/21,462.00,498.00,461.00,498.00,39.50,8.62%,"1,628","789,479",27.6974
2019/05/20,453.50,459.50,452.00,458.50,10.00,2.23%,547,"249,682",25.5006
2019/05/17,440.00,451.00,440.00,448.50,8.50,1.93%,724,"323,342",24.9444
2019/05/16,441.00,443.50,435.00,440.00,-3.00,-0.68%,340,"149,698",24.4716
2019/05/15,445.00,448.00,434.50,443.00,2.00,0.45%,495,"218,669",24.6385
2019/05/14,416.00,441.00,416.00,441.00,11.50,2.68%,988,"430,201",24.5273
2019/05/13,438.00,443.50,426.00,429.50,-5.50,-1.26%,316,"137,375",23.8877
2019/05/10,425.00,444.00,425.00,435.00,5.00,1.16%,526,"229,316",24.1935
2019/05/09,441.50,449.00,424.50,430.00,-21.50,-4.76%,876,"381,125",23.4205
2019/05/08,445.00,457.50,436.00,451.50,1.50,0.33%,681,"306,167",24.5915
2019/05/07,466.00,468.00,450.00,450.00,-14.00,-3.02%,393,"180,053",24.5098
2019/05/06,458.00,464.00,451.00,464.00,-1.00,-0.22%,470,"214,423",25.2723
2019/05/03,464.00,468.00,458.00,465.00,0.00,0.00%,518,"240,519",25.3268
2019/05/02,467.00,476.00,460.50,465.00,-2.00,-0.43%,683,"320,843",25.3268
2019/04/30,452.50,477.00,449.50,467.00,18.00,4.01%,"1,419","660,243",25.4357
2019/04/29,420.00,453.50,416.00,449.00,29.00,6.90%,"1,362","601,264",24.4553
2019/04/26,419.00,420.00,415.50,420.00,0.00,0.00%,241,"100,821",22.8758
2019/04/25,419.50,420.00,413.50,420.00,1.50,0.36%,283,"118,102",22.8758
2019/04/24,421.00,421.00,415.00,418.50,-2.50,-0.59%,296,"123,936",22.7941
2019/04/23,417.50,421.00,414.00,421.00,3.50,0.84%,350,"146,571",22.9303
2019/04/22,419.50,419.50,413.00,417.50,5.50,1.33%,169,"70,420",22.7397
2019/04/19,422.00,422.00,412.00,412.00,-10.00,-2.37%,247,"102,514",22.4401
2019/04/18,420.00,422.00,411.50,422.00,3.00,0.72%,490,"205,206",22.9847
2019/04/17,416.00,421.00,414.00,419.00,6.50,1.58%,517,"215,911",22.8214
