ら戳,秨絃计,程蔼计,程计,Μ絃计
98/01/05,4725.26,4778.52,4687.57,4698.31
98/01/06,4719.54,4754.88,4679.43,4727.26
98/01/07,4780.44,4817.44,4752.91,4789.84
98/01/08,4670.62,4687.4,4532.74,4535.79
98/01/09,4515.1,4546.71,4472.45,4502.74
98/01/10,4450.52,4500.02,4441.09,4467.53
98/01/12,4487.68,4523.01,4431.04,4453.9
98/01/13,4442.38,4532.36,4423.14,4532.36
98/01/14,4538.25,4579.24,4521.47,4521.47
98/01/15,4350.49,4351.47,4315.62,4320.77
98/01/16,4374.78,4382.43,4313.19,4353.7
98/01/17,4382.86,4382.86,4354.18,4366.1
98/01/19,4389.08,4398.53,4366.19,4366.76
98/01/20,4304.35,4304.35,4242.61,4242.61
98/01/21,4164.68,4265.33,4164.19,4247.97
98/02/02,4277.1,4285.12,4240.08,4259.98
98/02/03,4300.56,4389.87,4295.26,4372.81
98/02/04,4422.56,4422.56,4366.41,4389.97
98/02/05,4380.8,4422.41,4363.25,4363.25
98/02/06,4438.3,4507.3,4432.16,4471.25
98/02/09,4562.68,4574.74,4494.59,4494.59
98/02/10,4524.05,4533.95,4491.84,4526.1
98/02/11,4448.24,4575.95,4448.24,4575.95
98/02/12,4581.3,4594.75,4466.42,4466.42
98/02/13,4504.71,4599.61,4504.71,4592.5
98/02/16,4605.77,4607.97,4575.98,4591.26
98/02/17,4572.97,4585.28,4475.17,4491.78
98/02/18,4455.75,4520.67,4428.29,4498.37
98/02/19,4475.16,4571.31,4433.43,4528.87
98/02/20,4483.91,4513.99,4436.94,4436.94
98/02/23,4420.43,4485.36,4371.02,4477.78
98/02/24,4407.95,4452.96,4394.76,4430.18
98/02/25,4498.91,4549.32,4488.07,4493.74
98/02/26,4548.53,4556.82,4492.7,4518.56
98/02/27,4523.56,4564.32,4507.39,4557.15
98/03/02,4528.27,4528.27,4408.51,4425.83
98/03/03,4364.37,4435.34,4328.05,4435.34
98/03/04,4442.71,4549.98,4429.51,4541.42
98/03/05,4628.54,4677.89,4598.8,4637.2
98/03/06,4604.84,4662.36,4597.89,4653.63
98/03/09,4643.62,4660.13,4578.05,4628.24
98/03/10,4605.92,4688.63,4605.92,4671.02
98/03/11,4789.8,4798.06,4747.89,4759.96
98/03/12,4782.21,4794.94,4743.76,4754.65
98/03/13,4844.97,4923.57,4830.17,4897.39
98/03/16,4940.85,4991.59,4915.4,4971.32
98/03/17,4998.9,5050.63,4954.5,5041.39
98/03/18,5074.63,5083.55,5021.48,5047.54
98/03/19,5090.5,5125.4,5035.82,5035.93
98/03/20,5060.25,5069.42,4961.62,4961.62
98/03/23,5022.6,5124.18,5015.82,5124.18
98/03/24,5237.78,5264.94,5205.94,5242.18
98/03/25,5248.78,5365.81,5226.49,5346.38
98/03/26,5374.77,5422.95,5335.35,5386.56
98/03/27,5468.49,5468.49,5367.99,5390.7
98/03/30,5362.9,5362.9,5166.87,5206.05
98/03/31,5214.96,5286.45,5194.93,5210.84
98/04/01,5271.83,5341.31,5271.83,5314.45
98/04/02,5428.92,5477.97,5401.3,5473.78
98/04/03,5541.34,5567.15,5482.18,5529.63
98/04/06,5590.7,5624.28,5521.88,5556.22
98/04/07,5497.88,5576.85,5484.89,5576.85
98/04/08,5534.58,5608.96,5435.04,5443.56
98/04/09,5532.99,5667.8,5526.13,5667.8
98/04/10,5784.9,5788.21,5696.56,5781.96
98/04/13,5814.17,5861.11,5784.1,5857.64
98/04/14,5814.42,5898.76,5765.81,5892.68
98/04/15,5879.86,5904.28,5798.62,5875.19
98/04/16,6009.67,6025.85,5965.48,5997.17
98/04/17,6068.55,6071.06,5706.03,5755.38
98/04/20,5764.48,5797.63,5648.1,5781.66
98/04/21,5665.94,5881.41,5663.56,5881.41
98/04/22,5887.48,5925.92,5856.13,5886.11
98/04/23,5900.45,5903.47,5789.27,5875.24
98/04/24,5913.13,5987.23,5824.42,5880.77
98/04/27,5931.87,5946.97,5672.25,5705.05
98/04/28,5744.77,5773.53,5596.73,5596.73
98/04/29,5627.54,5649.24,5571.93,5614.06
98/04/30,5964.03,5995.12,5932.03,5992.57
98/05/04,6285.6,6356.29,6256.29,6330.4
98/05/05,6557.75,6562.77,6326.76,6379.94
98/05/06,6389.55,6570.5,6372.94,6566.7
98/05/07,6603.52,6628.54,6455.23,6572.87
98/05/08,6510.22,6587.62,6483.21,6583.87
98/05/11,6581.7,6680.97,6571.41,6647.5
98/05/12,6550.28,6553.69,6404.93,6432.55
98/05/13,6449.46,6512.07,6435.49,6485.14
98/05/14,6362.77,6435.41,6339.47,6364.17
98/05/15,6446.4,6520.04,6427.63,6489.09
98/05/18,6516.13,6577.81,6457.14,6577.81
98/05/19,6750.04,6784.26,6620.53,6655.59
98/05/20,6708.54,6740.75,6590.79,6703.62
98/05/21,6690.85,6746.1,6650.33,6718.81
98/05/22,6650.51,6781.14,6650.51,6737.29
98/05/25,6838.7,6878.66,6708.19,6734.46
98/05/26,6780.37,6830.24,6649.95,6683.11
98/05/27,6800.56,6930.59,6743.39,6890.44
98/06/01,7033.33,7033.33,6892.69,6954.1
98/06/02,7058.12,7084.83,6899.98,6949.08
98/06/03,6915.0,6931.29,6847.76,6893.14
98/06/04,6887.88,6907.87,6716.33,6786.06
98/06/05,6825.73,6829.66,6743.15,6767.1
98/06/06,6795.87,6856.74,6781.69,6856.74
98/06/08,6907.32,6907.32,6628.02,6628.02
98/06/09,6636.84,6640.44,6394.34,6414.39
98/06/10,6478.46,6512.22,6389.94,6462.27
98/06/11,6458.62,6567.37,6353.78,6567.37
98/06/12,6552.58,6586.2,6443.86,6448.23
98/06/15,6362.22,6383.98,6188.7,6225.56
98/06/16,6220.54,6257.13,6143.24,6220.81
98/06/17,6239.51,6306.46,6191.58,6195.91
98/06/18,6246.85,6279.36,6100.08,6144.53
98/06/19,6187.97,6231.88,6151.51,6231.15
98/06/22,6256.38,6348.74,6193.09,6341.21
98/06/23,6206.31,6262.29,6197.47,6197.47
98/06/24,6230.76,6511.97,6191.63,6380.08
98/06/25,6427.88,6497.38,6404.38,6457.61
98/06/26,6515.64,6527.86,6460.91,6463.56
98/06/29,6512.42,6522.13,6391.15,6391.15
98/06/30,6485.33,6503.98,6381.42,6432.16
98/07/01,6445.85,6593.78,6433.69,6578.97
98/07/02,6613.72,6686.7,6600.91,6667.53
98/07/03,6632.98,6685.28,6607.62,6665.4
98/07/06,6691.02,6693.44,6615.9,6649.91
98/07/07,6675.81,6745.31,6656.89,6715.22
98/07/08,6667.98,6692.76,6629.83,6668.14
98/07/09,6696.72,6803.83,6696.72,6748.18
98/07/10,6807.46,6807.46,6739.05,6769.86
98/07/13,6795.23,6797.72,6525.9,6530.82
98/07/14,6584.9,6657.17,6568.91,6639.41
98/07/15,6672.28,6774.28,6651.86,6738.6
98/07/16,6863.86,6878.68,6770.51,6780.3
98/07/17,6851.96,6870.58,6791.75,6850.99
98/07/20,6921.64,6961.45,6861.02,6938.86
98/07/21,6995.5,7002.32,6904.88,6953.34
98/07/22,6979.41,7030.13,6955.37,6985.32
98/07/23,6987.79,7023.67,6926.27,6980.88
98/07/24,7046.46,7046.46,6950.92,6973.28
98/07/27,7008.18,7059.46,6954.3,7028.43
98/07/28,7038.73,7142.63,7038.73,7142.63
98/07/29,7185.52,7185.52,7070.72,7083.63
98/07/30,7063.47,7068.43,6944.5,7027.11
98/07/31,7111.15,7132.11,7044.7,7077.71
98/08/03,7036.47,7084.59,6986.29,7056.71
98/08/04,7129.43,7138.94,6921.04,6955.87
98/08/05,6979.73,7013.6,6827.16,6848.24
98/08/06,6886.7,6888.09,6775.87,6868.65
98/08/10,6858.87,6909.16,6836.96,6882.87
98/08/11,6904.45,6921.85,6812.06,6909.02
98/08/12,6878.34,6933.51,6864.91,6898.9
98/08/13,6949.5,7037.47,6931.55,7034.96
98/08/14,7091.82,7132.33,7062.49,7069.51
98/08/17,7034.27,7051.78,6931.8,6931.8
98/08/18,6843.27,6904.64,6746.3,6789.77
98/08/19,6843.69,6854.59,6786.79,6788.58
98/08/20,6784.91,6784.91,6647.32,6733.23
98/08/21,6785.7,6824.65,6629.1,6654.8
98/08/24,6766.76,6859.79,6762.68,6838.25
98/08/25,6840.27,6865.92,6800.35,6809.41
98/08/26,6816.42,6827.89,6663.84,6719.21
98/08/27,6678.24,6753.73,6658.73,6690.75
98/08/28,6727.42,6824.65,6711.16,6809.86
98/08/31,6844.91,6848.96,6760.05,6825.95
98/09/01,6834.63,7019.75,6807.62,7019.75
