0,1,2,3,4,5,6,7,8
2009/01/02(星期五),3580,20,3230,10.0,4520.0,0.0,3390.0,80.0
2009/01/03(星期六),3580,0,3230,0.0,4520.0,0.0,3430.0,40.0
2009/01/05(星期一),3590,10,3240,10.0,4520.0,0.0,3430.0,0.0
2009/01/06(星期二),3510,80,3160,80.0,4520.0,0.0,3430.0,0.0
2009/01/07(星期三),3550,40,3200,40.0,4730.0,210.0,3560.0,130.0
2009/01/08(星期四),3510,0,3160,0.0,4730.0,0.0,3590.0,0.0
2009/01/09(星期五),3530,20,3180,20.0,4830.0,100.0,3660.0,70.0
2009/01/10(星期六),3540,10,3190,10.0,4830.0,0.0,3650.0,10.0
2009/01/12(星期一),3540,0,3190,0.0,4830.0,0.0,3680.0,30.0
2009/01/13(星期二),3470,70,3120,70.0,4620.0,210.0,3560.0,120.0
2009/01/14(星期三),3460,10,3110,10.0,4620.0,0.0,3610.0,50.0
2009/01/15(星期四),3420,40,3070,40.0,4520.0,100.0,3450.0,160.0
2009/01/16(星期五),3440,20,3090,20.0,4520.0,0.0,3560.0,110.0
2009/01/17(星期六),3510,70,3160,70.0,4520.0,0.0,3610.0,50.0
2009/01/19(星期一),3510,0,3160,0.0,4730.0,210.0,3620.0,10.0
2009/01/20(星期二),3480,30,3130,30.0,4730.0,0.0,3610.0,10.0
2009/01/21(星期三),3580,100,3230,100.0,4730.0,0.0,3590.0,20.0
2009/01/22(星期四),3570,10,3220,10.0,4620.0,110.0,3530.0,60.0
2009/01/23(星期五),3580,10,3230,10.0,4620.0,0.0,3460.0,70.0
2009/01/24(星期六),3700,120,3350,120.0,4730.0,110.0,3600.0,140.0
2009/01/29(星期四),3600,100,3260,90.0,4600.0,130.0,3500.0,100.0
2009/02/02(星期一),3800,100,3450,100.0,4830.0,100.0,3660.0,60.0
2009/02/03(星期二),3780,20,3430,20.0,4830.0,0.0,3630.0,30.0
2009/02/04(星期三),3770,10,3420,10.0,4830.0,0.0,3610.0,20.0
2009/02/05(星期四),3790,20,3440,20.0,4830.0,0.0,3620.0,10.0
2009/02/06(星期五),3820,30,3470,30.0,4830.0,0.0,3650.0,30.0
2009/02/07(星期六),3810,10,3460,10.0,4830.0,0.0,3760.0,110.0
